Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2013,1,104,Sebebera,7.770740945823491,230.9352205395699,.054126482,.0032205165,0,29.718559,.445628683490213
2014,1,104,Sebebera,4.849977965466678,105.0440401732922,.090198375,.27552983,0,21.658663,1.773773699998856
2015,1,104,Sebebera,2.353893015300855,7.470150006935,.69939452,0,.69939452,3.1735299,1.646299870684743
2011,1,104,Waza Adi Awana,7.059866977855563,162.3769487738609,.036922999,0,0,23.000002,.4824860217049718
2012,1,104,Waza Adi Awana,6.687676999950782,91.28459998965263,.44863859,0,0,13.649673,3.014188230386935
2013,1,104,Waza Adi Awana,4.724275983870029,66.45203945040703,0,0,0,14.066079,0
2014,1,104,Waza Adi Awana,5.073423012625426,204.4345299601555,0,0,0,40.295189,0
2015,1,104,Waza Adi Awana,2.927425989881158,43.79686009883881,.60375541,0,.60375541,14.960877,1.767449346370995
2011,1,104,Abinet,1.405386013910174,36.96164008975029,.051468913,0,.022200903,26.299992,.072333687916398
2012,1,104,Abinet,2.593004995957017,45.91610005497932,0,0,0,17.70768,.0158046893775463
2013,1,104,Abinet,3.092213978758082,57.88482979685068,0,0,0,18.719542,.1685719937086105
2014,1,104,Abinet,1.243637010920793,40.59126010537148,0,.22115575,0,32.639153,.2750374721945263
2015,1,104,Abinet,1.752637982368469,38.13963973522186,.21444568,0,.093211778,21.761276,.3758456334471703
2011,1,104,betimera,3.517148988321424,31.30259983241558,.01938772,0,0,8.8999929,.0920615009963512
2012,1,104,betimera,2.414768017828465,55.825469404459,.28370991,0,0,23.118357,.6850936077535152
2013,1,104,betimera,3.926496982574463,201.4041897058487,0,.025814105,0,51.293606,.1821890026330948
2014,1,104,betimera,3.746457016095519,128.6969608068466,0,.035219543,0,34.351646,.1319485008716583
