"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"Gamo Gofa",710,"KEMBA",71012,"01-01-2013",7,"BOKO SHELE",7.87095697084442,214.090018898249,0.0621201358735561,0,27.1999988555908
"Gamo Gofa",710,"KEMBA",71012,"01-01-2014",7,"BOKO SHELE",5.62132101878524,89.9411506950855,0.111125268042088,0,16.0000019073486
"Gamo Gofa",710,"KEMBA",71012,"01-01-2015",7,"BOKO SHELE",5.23091600881889,66.9557397924364,0.257098257541656,0.256046414375305,12.8000030517578
"Gamo Gofa",710,"KEMBA",71012,"01-01-2010",7,"GARIDA YAGILE",1.16875000856817,7.48009994626045,0.0298825651407242,0,6.40008544921875
"Gamo Gofa",710,"KEMBA",71012,"01-01-2011",7,"GARIDA YAGILE",0.277604000642896,1.08266001939774,0.36673966050148,0,3.90001583099365
"Gamo Gofa",710,"KEMBA",71012,"01-01-2012",7,"GARIDA YAGILE",1.34932897239923,11.4693000614643,0.0446882843971252,0,8.50000286102295
"Gamo Gofa",710,"KEMBA",71012,"01-01-2013",7,"GARIDA YAGILE",0.43614999204874,8.50493001937866,0.0265596695244312,0,19.5000114440918
"Gamo Gofa",710,"KEMBA",71012,"01-01-2014",7,"GARIDA YAGILE",1.4147170111537,14.7130600214005,0.119023665785789,0,10.4000024795532
"Gamo Gofa",710,"KEMBA",71012,"01-01-2015",7,"GARIDA YAGILE",0.133289001882076,1.67943996191025,0.715945839881897,0.140090331435204,12.5999889373779
"Siliti",720,"Silite",72002,"01-01-2010",7,"Dobo bedeno",0.284392004832625,4.55029994249344,0.0853715986013412,0,16.0000972747803
"Siliti",720,"Silite",72002,"01-01-2011",7,"Dobo bedeno",0.231824994087219,7.76613998413086,0,0,33.5000114440918
"Siliti",720,"Silite",72002,"01-01-2012",7,"Dobo bedeno",0.804277995601296,17.8549699187279,0,0,22.1999988555908
"Siliti",720,"Silite",72002,"01-01-2013",7,"Dobo bedeno",0.067841000854969,1.69837999343872,0.300000011920929,0,25.0347137451172
"Siliti",720,"Silite",72002,"01-01-2014",7,"Dobo bedeno",0.266784995794296,9.6966495513916,0.100000001490116,0,36.346305847168
"Siliti",720,"Silite",72002,"01-01-2010",7,"Dagecho mukere",0.48727099224925,8.67339992523193,0,0,17.7999515533447
"Siliti",720,"Silite",72002,"01-01-2011",7,"Dagecho mukere",0.583520998246968,9.39468993246555,0.176010280847549,0,16.1000022888184
"Siliti",720,"Silite",72002,"01-01-2012",7,"Dagecho mukere",2.23312698304653,80.6158896386623,0.0116607788950205,0,36.1000022888184
"Siliti",720,"Silite",72002,"01-01-2013",7,"Dagecho mukere",1.90556401014328,39.8363798856735,0.0272972732782364,0,20.9052963256836
"Siliti",720,"Silite",72002,"01-01-2014",7,"Dagecho mukere",1.19443399459124,8.88414992392063,0,0,7.43795824050903
"Siliti",720,"Silite",72002,"01-01-2015",7,"Dagecho mukere",0.59706100448966,23.0436496734619,0.422829657793045,0.422829657793045,38.5951347351074
"Siliti",720,"Silite",72002,"01-01-2010",7,"Sada gora",1.08615699410439,19.4422998428345,0.233443364500999,0,17.9000816345215
"Siliti",720,"Silite",72002,"01-01-2011",7,"Sada gora",0.584945984184742,18.6597799062729,0.241093203425407,0,31.9000053405762
"Siliti",720,"Silite",72002,"01-01-2012",7,"Sada gora",0.554007997736335,13.4624000489712,0.102458268404007,0,24.3000106811523
